theme,avg_1990s,avg_2020s,delta_1990s_to_2020s
macro,3.793,5.45,1.657
technology_ai,0.312,1.469,1.156
politics,0.578,1.5,0.921
rates,4.392,5.179,0.787
uncertainty,0.412,0.689,0.278
risk,4.143,4.345,0.202
psychology,2.2,1.468,-0.732
prediction,2.686,1.722,-0.964
valuation,5.831,4.718,-1.114
cycles,2.955,1.118,-1.837
credit,8.013,5.606,-2.407
